cross,fert,king_robust_27,king_homog_111,king_homog_27
007-022 ,2.732240437,0.254368376,0.072038635,0.166552604
007-025 ,27.52689497,0.281022579,0.115941839,0.201655357
007-028 ,20.38162783,0.244258077,0.05300694,0.152591118
007-031 ,59.0104789,0.253837823,0.067769395,0.163953629
007-048 ,43.95839817,0.306854839,0.161667795,0.236928133
007-067 ,50.22544283,0.276068135,0.107860987,0.194857888
007-104 ,0.916573139,0.473472823,0.454695009,0.464675469
007-121 ,10.61119197,0.26103958,0.0865215,0.178121977
022-025 ,34.21652422,0.231914894,0.030090016,0.134181023
022-028 ,28.15965427,0.253639443,0.047463228,0.148297675
022-031 ,86.76470588,0.22765058,0.020180776,0.126732219
022-048 ,50.48993722,0.263714131,0.061489893,0.159365492
022-067 ,74.72222222,0.254929446,0.062175686,0.158818797
022-104 ,1.36009636,0.238385711,0.053042831,0.151511196
022-121 ,13.52699408,0.246142649,0.063380959,0.159605868
025-028 ,16.78018278,0.255196032,0.06970255,0.165574949
025-031 ,54.0347664,0.253437792,0.065597594,0.162421605
025-048 ,23.93673195,0.248634008,0.05790895,0.15638821
025-067 ,55.80884318,0.275871688,0.104000698,0.192035109
025-104 ,9.486701363,0.263262283,0.093821757,0.183726838
025-121 ,12.42724868,0.253969763,0.07495812,0.16933914
028-031 ,61.41287486,0.250331095,0.058528978,0.157312951
028-048 ,33.72643617,0.267389525,0.070385279,0.167003007
028-067 ,60.70572175,0.25762451,0.065872522,0.162301534
028-104 ,16.57236842,0.226550274,0.032878744,0.136298229
028-121 ,7.848897135,0.241591766,0.052993707,0.152341606
031-048 ,23.92810791,0.248112495,0.054086655,0.153923115
031-067 ,33.00803159,0.269189316,0.091884531,0.182728673
031-104 ,11.99331898,0.235843141,0.04567792,0.146265868
031-121 ,6.807181889,0.243730257,0.055710504,0.154410047
048-067 ,32.87659201,0.255463592,0.061449263,0.158924718
048-104 ,16.8396867,0.288253628,0.137543265,0.217747221
048-121 ,8.912037037,0.249012714,0.065045675,0.161807132
067-104 ,15.76035782,0.262929371,0.093918074,0.183299764
067-121 ,14.00759734,0.265225045,0.092506433,0.182876116
104-121 ,25.18199234,0.254508631,0.079231648,0.171829653
022-007 ,0.529100529,0.254368376,0.072038635,0.166552604
025-007 ,18.36572152,0.281022579,0.115941839,0.201655357
028-007 ,41.44728238,0.244258077,0.05300694,0.152591118
031-007 ,16.45210728,0.253837823,0.067769395,0.163953629
048-007 ,19.17177629,0.306854839,0.161667795,0.236928133
067-007 ,25.14619883,0.276068135,0.107860987,0.194857888
104-007 ,1.537176274,0.473472823,0.454695009,0.464675469
121-007 ,39.91013072,0.26103958,0.0865215,0.178121977
025-022 ,78.81241565,0.231914894,0.030090016,0.134181023
028-022 ,91.99284512,0.253639443,0.047463228,0.148297675
031-022 ,47.81754799,0.22765058,0.020180776,0.126732219
048-022 ,60.66531685,0.263714131,0.061489893,0.159365492
067-022 ,38.17805777,0.254929446,0.062175686,0.158818797
104-022 ,0.529100529,0.238385711,0.053042831,0.151511196
121-022 ,82.99341682,0.246142649,0.063380959,0.159605868
028-025 ,31.52875587,0.255196032,0.06970255,0.165574949
031-025 ,23.19790538,0.253437792,0.065597594,0.162421605
048-025 ,27.93317793,0.248634008,0.05790895,0.15638821
067-025 ,21.41614221,0.275871688,0.104000698,0.192035109
104-025 ,34.5190175,0.263262283,0.093821757,0.183726838
121-025 ,32.62626263,0.253969763,0.07495812,0.16933914
031-028 ,12.19047619,0.250331095,0.058528978,0.157312951
048-028 ,16.01909995,0.267389525,0.070385279,0.167003007
067-028 ,15.60558683,0.25762451,0.065872522,0.162301534
104-028 ,31.83596891,0.226550274,0.032878744,0.136298229
121-028 ,31.1323764,0.241591766,0.052993707,0.152341606
048-031 ,16.08045977,0.248112495,0.054086655,0.153923115
067-031 ,32.14098979,0.269189316,0.091884531,0.182728673
104-031 ,77.89767379,0.235843141,0.04567792,0.146265868
121-031 ,48.37094586,0.243730257,0.055710504,0.154410047
067-048 ,25.49223417,0.255463592,0.061449263,0.158924718
104-048 ,51.13378685,0.288253628,0.137543265,0.217747221
121-048 ,52.44278046,0.249012714,0.065045675,0.161807132
104-067 ,60.37131196,0.262929371,0.093918074,0.183299764
121-067 ,66.3823178,0.265225045,0.092506433,0.182876116
121-104 ,39.50734471,0.254508631,0.079231648,0.171829653
